uid,univid,univname,countryid,country,cityid,cityname
1,1001,"清华大学",1,"中国",1,"北京"
2,1002,"北京大学",1,"中国",1,"北京"
3,1003,"中国人民大学",1,"中国",1,"北京"
4,1004,"北京航空航天大学",1,"中国",1,"北京"
5,1005,"北京邮电大学",1,"中国",1,"北京"
6,1006,"北京师范大学",1,"中国",1,"北京"
7,1007,"中国传媒大学",1,"中国",1,"北京"
8,1008,"北京语言大学",1,"中国",1,"北京"
9,1009,"北京科技大学",1,"中国",1,"北京"
10,1010,"中国农业大学",1,"中国",1,"北京"
11,1011,"北京理工大学",1,"中国",1,"北京"
12,1012,"北京林业大学",1,"中国",1,"北京"
13,1013,"北京交通大学",1,"中国",1,"北京"
14,1014,"中国矿业大学（北京）",1,"中国",1,"北京"
15,1015,"北京信息科技大学",1,"中国",1,"北京"
16,1016,"北京工业大学",1,"中国",1,"北京"
17,1017,"北京化工大学",1,"中国",1,"北京"
18,1018,"中国政法大学",1,"中国",1,"北京"
19,1019,"对外经贸大学",1,"中国",1,"北京"
20,1020,"中央民族大学",1,"中国",1,"北京"
21,1021,"中国地质大学（北京）",1,"中国",1,"北京"
22,1022,"中科院",1,"中国",1,"北京"
23,1023,"北京中医药大学",1,"中国",1,"北京"
24,1024,"首都经济贸易大学",1,"中国",1,"北京"
25,1025,"中央财经大学",1,"中国",1,"北京"
26,1026,"北方工业大学",1,"中国",1,"北京"
27,1027,"中国石油大学（北京）",1,"中国",1,"北京"
28,1028,"外交学院",1,"中国",1,"北京"
29,1029,"首都师范大学",1,"中国",1,"北京"
30,1030,"中央戏剧学院",1,"中国",1,"北京"
31,1031,"中国青年政治学院",1,"中国",1,"北京"
32,1032,"北京外国语大学",1,"中国",1,"北京"
33,1033,"华北电力大学（北京）",1,"中国",1,"北京"
34,1034,"中国人民公安大学",1,"中国",1,"北京"
35,1035,"北京协和医学院",1,"中国",1,"北京"
36,1036,"北京体育大学",1,"中国",1,"北京"
37,1037,"北京工商大学",1,"中国",1,"北京"
38,1038,"北京联合大学",1,"中国",1,"北京"
39,1039,"首都医科大学",1,"中国",1,"北京"
40,1040,"国际关系学院",1,"中国",1,"北京"
41,1041,"中央美术学院",1,"中国",1,"北京"
42,1042,"北京电子科技学院",1,"中国",1,"北京"
43,1043,"中国劳动关系学院",1,"中国",1,"北京"
44,1044,"中华女子学院",1,"中国",1,"北京"
45,1045,"北京建筑工程学院",1,"中国",1,"北京"
46,1046,"北京印刷学院",1,"中国",1,"北京"
47,1047,"北京石油化工学院",1,"中国",1,"北京"
48,1048,"首钢工学院",1,"中国",1,"北京"
49,1049,"北京农学院",1,"中国",1,"北京"
50,1050,"首都体育学院",1,"中国",1,"北京"
51,1051,"北京第二外国语学院",1,"中国",1,"北京"
52,1052,"北京物资学院",1,"中国",1,"北京"
53,1053,"北京警察学院",1,"中国",1,"北京"
54,1054,"中央音乐学院",1,"中国",1,"北京"
55,1055,"中国戏曲学院",1,"中国",1,"北京"
56,1056,"北京舞蹈学院",1,"中国",1,"北京"
57,1057,"北京城市学院",1,"中国",1,"北京"
58,1058,"北京电影学院",1,"中国",1,"北京"
59,1059,"北京服装学院",1,"中国",1,"北京"
60,1070,"北京工商大学嘉华学院",1,"中国",1,"北京"
61,1071,"首都师范大学科德学院",1,"中国",1,"北京"
62,1072,"北京工业大学耿丹学院",1,"中国",1,"北京"
63,1073,"北京化工大学北方学院",1,"中国",1,"北京"
64,1074,"北京联合大学广告学院",1,"中国",1,"北京"
65,1075,"北京邮电大学世纪学院",1,"中国",1,"北京"
66,1101,"北京大学医学部",1,"中国",1,"北京"
67,1102,"北京政法职业学院",1,"中国",1,"北京"
68,1103,"北京信息职业技术学院",1,"中国",1,"北京"
69,1104,"北京现代职业技术学院",1,"中国",1,"北京"
70,1105,"北京现代音乐研修学院",1,"中国",1,"北京"
71,1106,"北京戏曲艺术职业学院",1,"中国",1,"北京"
72,1107,"北京锡华国际经贸职业学院",1,"中国",1,"北京"
73,1108,"北京盛基艺术学校",1,"中国",1,"北京"
