mid,dormname,univid
1,"10号楼",1001
2,"11号楼",1001
3,"12号楼",1001
4,"13号楼",1001
5,"14号楼",1001
6,"15号楼",1001
7,"16号楼",1001
8,"17号楼",1001
9,"18号楼",1001
10,"19号楼",1001
11,"1号楼",1001
12,"20号楼",1001
13,"22号楼",1001
14,"23号楼",1001
15,"24号楼",1001
16,"25号楼",1001
17,"26号楼",1001
18,"27号楼",1001
19,"28号楼",1001
20,"29号楼",1001
21,"2号楼",1001
22,"30号楼",1001
23,"31号楼",1001
24,"32号楼",1001
25,"33号楼",1001
26,"34号楼",1001
27,"35号楼",1001
28,"36号楼",1001
29,"37号楼",1001
30,"39号楼",1001
31,"3号楼",1001
32,"4号楼",1001
33,"5号楼",1001
34,"6号楼",1001
35,"7号楼",1001
36,"8号楼",1001
37,"9号楼",1001
38,"东区16宿舍",1001
39,"校外",1001
40,"紫荆10号楼",1001
41,"紫荆11号楼",1001
42,"紫荆12号楼",1001
43,"紫荆13号楼",1001
44,"紫荆14号楼",1001
45,"紫荆15号楼",1001
46,"紫荆16号楼",1001
47,"紫荆17号楼",1001
48,"紫荆18号楼",1001
49,"紫荆1号楼",1001
50,"紫荆20号楼",1001
51,"紫荆21号楼",1001
52,"紫荆22号楼",1001
53,"紫荆23号楼",1001
54,"紫荆24号楼",1001
55,"紫荆25号楼",1001
56,"紫荆26号楼",1001
57,"紫荆27号楼",1001
58,"紫荆28号楼",1001
59,"紫荆2号楼",1001
60,"紫荆30号楼",1001
61,"紫荆31号楼",1001
62,"紫荆32号楼",1001
63,"紫荆33号楼",1001
64,"紫荆3号楼",1001
65,"紫荆4号楼",1001
66,"紫荆5号楼",1001
67,"紫荆6号楼",1001
68,"紫荆7号楼",1001
69,"紫荆8号楼",1001
70,"紫荆9号楼",1001
71,"15楼",1002
72,"16楼",1002
73,"17楼",1002
74,"19楼",1002
75,"21楼",1002
76,"22楼",1002
77,"24楼",1002
78,"25楼",1002
79,"26楼",1002
80,"27楼",1002
81,"28楼",1002
82,"29楼",1002
83,"30楼",1002
84,"31楼",1002
85,"32楼",1002
86,"33楼",1002
87,34A,1002
88,34B,1002
89,"35楼",1002
90,"36楼",1002
91,"37楼",1002
92,"38楼",1002
93,"39楼",1002
94,"40楼",1002
95,"41楼",1002
96,"42楼",1002
97,"43楼",1002
98,"44楼",1002
99,"45乙",1002
100,"45楼",1002
101,"45甲",1002
102,"46楼",1002
103,"47楼",1002
104,"48楼",1002
105,"49楼",1002
106,"5号楼",1002
107,"D14号楼",1002
108,"E13号楼",1002
109,"万柳1区",1002
110,"万柳2区",1002
111,"万柳3区",1002
112,"万柳4区",1002
113,"万柳5区",1002
114,"万柳6区",1002
115,"医学部1号楼",1002
116,"医学部2号楼",1002
117,"医学部3号楼",1002
118,"医学部4号楼",1002
119,"医学部5号楼",1002
120,"医学部留学生公寓a",1002
121,"医学部留学生公寓b",1002
122,"医学部留学生公寓c",1002
123,"大兴13号楼",1002
124,"大兴5号楼",1002
125,"校外",1002
126,"深圳大学城北大校区L楼",1002
127,"深圳大学城北大校区M楼",1002
128,"深圳大学城北大校区N楼",1002
129,"畅春园63楼",1002
130,"畅春新园1",1002
131,"畅春新园2",1002
132,"畅春新园3",1002
133,"畅春新园4",1002
134,"留学生公寓",1002
135,"东风1",1003
136,"东风2",1003
137,"东风4",1003
138,"东风5",1003
139,"东风6",1003
140,"东风7",1003
141,"品园1",1003
142,"品园2",1003
143,"品园3",1003
144,"品园4",1003
145,"品园5",1003
146,"培训1楼",1003
147,"培训2楼",1003
148,"宜园1",1003
149,"宜园2",1003
150,"宜园3",1003
151,"校外",1003
152,"知行1",1003
153,"知行2",1003
154,"知行3",1003
155,"知行4",1003
156,"知行5",1003
157,"红1",1003
158,"红2",1003
159,"红3",1003
160,"15楼",1004
161,"大运村10号楼",1004
162,"大运村1号楼",1004
163,"大运村2号楼",1004
164,"大运村3号楼",1004
165,"大运村4号楼",1004
166,"大运村5号楼",1004
167,"大运村6号楼",1004
168,"大运村7号楼",1004
169,"大运村8号楼",1004
170,"大运村9号楼",1004
171,"学生公寓10号楼",1004
172,"学生公寓11号楼",1004
173,"学生公寓12号楼",1004
174,"学生公寓13号楼",1004
175,"学生公寓15号楼",1004
176,"学生公寓16号楼",1004
177,"学生公寓17号楼",1004
178,"学生公寓18号楼",1004
179,"学生公寓19号楼",1004
180,"学生公寓1号楼",1004
181,"学生公寓20号楼",1004
182,"学生公寓21号楼",1004
183,"学生公寓2号楼",1004
184,"学生公寓3号楼",1004
185,"学生公寓5号楼",1004
186,"学生公寓6号楼",1004
187,"学生公寓7号楼",1004
188,"学生公寓8号楼",1004
189,"学生公寓9号楼",1004
190,"大运村",1005
191,"学1",1005
192,"学10",1005
193,"学11",1005
194,"学12",1005
195,"学13",1005
196,"学2",1005
197,"学29",1005
198,"学3",1005
199,"学4",1005
200,"学5",1005
201,"学6",1005
202,"学7",1005
203,"学8",1005
204,"学9",1005
205,"宏福校区1期学1",1005
206,"宏福校区2期学1",1005
207,"宏福校区2期学2",1005
208,"宏福校区2期学3",1005
209,"宏福校区2期学4",1005
210,"宏福校区2期学5",1005
211,"宏福校区2期学6",1005
212,"昌平校区学二",1005
213,"昌平校区学四",1005
214,"中北楼",1006
215,"中南楼",1006
216,"二公寓",1006
217,"大运村",1006
218,"学十一楼",1006
219,"学十三楼",1006
220,"学十二楼",1006
221,"学十五楼",1006
222,"学十四楼",1006
223,"西北楼",1006
224,"西区公A座",1006
225,"西区公C座",1006
226,"西区公D座",1006
227,"西区公E座",1006
228,"西区公G座",1006
229,"西南楼",1006
230,"西西楼",1006
231,"中蓝学生公寓A区",1007
232,"中蓝学生公寓B区",1007
233,"中蓝学生公寓C区",1007
234,"中蓝学生公寓D区",1007
235,"中蓝学生公寓E区",1007
236,"北院公寓34号楼",1007
237,"北院公寓35号楼",1007
238,"北院公寓36号楼",1007
239,"北院公寓37号楼",1007
240,"北院公寓38号楼",1007
241,"北院公寓41号楼",1007
242,"北院公寓43号楼",1007
243,"北院公寓47号楼",1007
244,"南院公寓6号楼",1007
245,"南院公寓7号楼",1007
246,"南院公寓8号楼",1007
247,"广雅学生公寓1号楼",1007
248,"广雅学生公寓2号楼",1007
249,"广雅学生公寓3号楼",1007
250,"广雅学生公寓4号楼",1007
251,"广雅学生公寓6号楼",1007
252,"艺水芳园",1007
253,"静思苑",1007
254,"10楼",1008
255,"11楼",1008
256,"14楼",1008
257,"15楼",1008
258,"2楼",1008
259,"3楼",1008
260,"家属院7号楼",1008
261,"校外",1008
262,"1斋",1009
263,"2斋",1009
264,"3斋",1009
265,"4斋",1009
266,"5斋",1009
267,"6斋",1009
268,"7斋",1009
269,"9斋",1009
270,"大运村",1009
271,"学生东门公寓",1009
272,"管庄校区",1009
273,"东区10号楼",1010
274,"东区3号楼",1010
275,"东区4号楼",1010
276,"东区公主楼A座",1010
277,"东区公主楼B座",1010
278,"东区学苑1号楼",1010
279,"东区学苑2号楼",1010
280,"东区学苑5号楼",1010
281,"东区学苑8号楼",1010
282,"西区10号楼",1010
283,"西区11号楼",1010
284,"西区12号楼",1010
285,"西区13号楼",1010
286,"西区1号楼",1010
287,"西区2号楼",1010
288,"西区3号楼",1010
289,"西区4号楼",1010
290,"西区5号楼",1010
291,"西区6号楼",1010
292,"西区7号楼",1010
293,"西区8号楼",1010
294,"西区9号楼",1010
295,"11号楼",1011
296,"12号楼",1011
297,"13号楼",1011
298,"14号楼",1011
299,"16号楼",1011
300,"1号楼",1011
301,"2号楼",1011
302,"3号楼",1011
303,"4号楼",1011
304,"5号楼",1011
305,"6号楼",1011
306,"7号楼",1011
307,"8号楼",1011
308,"9号楼",1011
309,"三义庙公寓",1011
