did,depname,univid
1,"中国语言文学系",1001
2,"人文社会科学学院",1001
3,"企业管理系",1001
4,"体育教研部",1001
5,"信息学院",1001
6,"信息艺术设计系",1001
7,"公共管理学院",1001
8,"化学工程系",1001
9,"化学系",1001
10,"医学系",1001
11,"协和医学院",1001
12,"历史系",1001
13,"哲学系",1001
14,"国际学院",1001
15,"国际贸易与金融系",1001
16,"国际问题研究所",1001
17,"土木工程系",1001
18,"城市规划系",1001
19,"基础科学班",1001
20,"外语系",1001
21,"对外交流中心",1001
22,"工业工程系",1001
23,"工业设计",1001
24,"工商管理",1001
25,"工程力学系",1001
26,"工程物理系",1001
27,"应用技术学院",1001
28,"建筑技术科学系",1001
29,"建筑系",1001
30,"建设管理系",1001
31,"微电子与纳电子学系",1001
32,"微电子学研究所",1001
33,"技术经济与管理系",1001
34,"政治学系",1001
35,"教育研究所",1001
36,"数学科学系",1001
37,"新闻与传播学院",1001
38,"景观学系",1001
39,"机械工程系",1001
40,"机电",1001
41,"材料科学与工程系",1001
42,"核能与新能源技术研究院",1001
43,"水利水电工程系",1001
44,"汽车工程系",1001
45,"法学院",1001
46,"热能工程系",1001
47,"物理系",1001
48,"环境科学与工程系",1001
49,"环境艺术设计系",1001
50,"理学院",1001
51,"生物医学工程系",1001
52,"生物科学与技术系",1001
53,"电子工程系",1001
54,"电子系",1001
55,"电机工程与应用电子技术系",1001
56,"研究生院",1001
57,"社会学系",1001
58,"科技与社会研究所",1001
59,"第一附属医院",1001
60,"第二附属医院",1001
61,"管理科学与工程系",1001
62,"精密仪器与机械学系",1001
63,"经济学研究所",1001
64,"经济管理学院",1001
65,"继续教育学院",1001
66,"美术学院",1001
67,"美术学院（史论分部）",1001
68,"美术学院（工业设计系）",1001
69,"美术学院（环境艺术系）",1001
70,"美术学院（美术分部）",1001
71,"美术学院（设计分部）",1001
72,"美术学院（雕塑系）",1001
73,"自动化系",1001
74,"航天航空学院",1001
75,"艺术教育中心",1001
76,"药学系",1001
77,"计算器应用与维修",1001
78,"计算机科学与技术系",1001
79,"软件学院",1001
80,"金融系",1001
81,"高等研究中心",1001
82,EECS,1002
83,"中国经济研究中心",1002
84,"中国语言文学系",1002
85,"中文系",1002
86,"人口研究所",1002
87,"伦敦政治经济学院",1002
88,"体育教研部",1002
89,"体育系",1002
90,"信息科学技术学院",1002
91,"信息管理系",1002
92,"元培计划",1002
93,"光华管理学院",1002
94,"公共卫生学院",1002
95,"其他院系",1002
96,"分子医学研究所",1002
97,"力学与工程科学系",1002
98,"化学与分子工程学院",1002
99,"北京大学第三医院",1002
100,"医学部",1002
101,"医学部公共卫生学院",1002
102,"医学部公共教学部",1002
103,"医学部基础医学院",1002
104,"医学部护理学院",1002
105,"医学部药学院",1002
106,"历史学系",1002
107,"口腔医学院/口腔医院",1002
108,"哲学系",1002
109,"国际关系学院",1002
110,"地球与空间科学学院",1002
111,"地球物理学系",1002
112,"地质学系",1002
113,"城市与环境学系",1002
114,"城市与环境学院",1002
115,"基础医学院",1002
116,"外国语学院",1002
117,"天使培训基地",1002
118,"对外汉语教育学院",1002
119,"工学院",1002
120,"应用文理学院",1002
121,"建筑学研究中心",1002
122,"微电子学系",1002
123,"心理学系",1002
124,"成人教育学院",1002
125,"技术物理系",1002
